TimeNow	X-Axis	Y-Axis	Z-Axis
11:39:30	-1984	3616	464
11:39:31	-2016	3680	480
11:39:32	-2000	3648	480
11:39:33	-208	9296	512
11:39:34	-1664	3744	448
11:39:35	-3008	1376	960
11:39:36	-2304	4224	288
11:39:37	-2160	5088	128
11:39:38	-2016	3552	496
11:39:39	-2304	3728	144
11:39:40	-2032	3264	-320
11:39:41	-2080	3568	448
11:39:42	-2160	3712	352
11:39:43	-1904	4896	144
11:39:44	-1600	2752	2768
11:39:45	-400	640	400
11:39:46	-336	1744	688
11:39:47	-2016	3776	240
11:39:48	-1104	3456	384
11:39:49	-4528	5056	1488
11:39:50	-1680	3456	752
11:39:51	-1776	3936	448
11:39:52	-1744	3808	448
11:39:53	-464	7136	6688
11:39:54	-4896	2496	928
11:39:55	-1648	3072	320
11:39:56	-1552	3040	1280
11:39:57	-2544	5056	-128
11:39:58	-2768	2704	704
11:39:59	-2352	3584	-64
11:40:00	-320	5312	1296
11:40:01	-2160	3680	160
11:40:02	-2240	3648	128
11:40:03	-2224	3584	160
11:40:04	-2240	3552	192
11:40:05	-2256	3552	176
11:40:06	-2208	3584	208
11:40:07	-2192	3616	128
11:40:08	-2448	3152	160
11:40:09	-2256	3584	176
11:40:10	-2128	3648	160
11:40:11	-1824	3648	272
11:40:12	-2720	4272	224
11:40:13	-2272	3728	304
11:40:14	-2880	5824	-160
11:40:15	-2160	4096	528
11:40:16	-3408	4304	-544
11:40:17	-2192	6240	304
11:40:18	-2816	5920	-320
11:40:19	-1920	3344	640
11:40:20	-2752	3584	480
11:40:21	-1952	3712	592
11:40:22	-2016	3648	272
11:40:23	-1952	3936	208
11:40:24	-2928	5072	-208
11:40:25	-2144	3936	208
11:40:26	-2112	3968	208
11:40:27	-1968	3712	208
11:40:28	-1920	3776	240
