TimeNow		X-Axis	Y-Axis	Z-Axis
12:53:28		-576	4064	320
12:53:28		-576	4048	368
12:53:28		-576	4032	336
12:53:28		-640	4032	352
12:53:28		-576	4064	304
12:53:28		-592	4080	304
12:53:28		-624	4032	320
12:53:28		-576	4048	304
12:53:28		-576	4048	288
12:53:29		-576	4032	320
12:53:29		-576	4048	352
12:53:29		-624	4064	336
12:53:29		-576	4032	384
12:53:29		-576	4048	336
12:53:29		-624	4048	352
12:53:29		-608	4064	336
12:53:29		-576	4032	352
12:53:29		-640	4048	288
12:53:29		-576	4048	336
12:53:30		-576	4096	352
12:53:30		-592	4032	304
12:53:30		-624	4064	320
12:53:30		-384	4048	304
12:53:30		-768	4160	288
12:53:30		-544	3984	352
12:53:30		-656	4112	288
12:53:30		-576	3968	320
12:53:30		-608	4128	352
12:53:31		-656	3968	320
12:53:31		-336	4208	416
12:53:31		-864	4240	352
12:53:31		9456	4704	1104
12:53:31		208	-176	128
12:53:31		736	10048	2304
12:53:31		-2816	0	-64
12:53:31		-224	8928	-1072
12:53:31		-1792	672	1184
12:53:31		-2880	8784	-496
12:53:32		-832	1472	448
12:53:32		-2608	3344	-944
12:53:32		-2176	4928	880
12:53:32		-2560	4160	128
12:53:32		-1456	2752	608
12:53:32		-1888	4320	240
12:53:32		-1872	4304	192
12:53:32		-1632	3216	384
12:53:32		-1520	3648	288
12:53:33		-1648	4032	528
12:53:33		-1760	4096	272
12:53:33		-1872	3344	384
12:53:33		-1936	3488	256
12:53:33		-1888	3696	448
12:53:33		-1872	3776	512
12:53:33		-1984	3520	336
12:53:33		-1904	3600	288
12:53:33		-1920	3648	288
12:53:34		-1920	3776	304
12:53:34		-1856	3696	288
12:53:34		-1824	3664	208
12:53:34		-1808	3712	304
12:53:34		-1920	3776	304
12:53:34		-1808	3776	272
12:53:34		-1824	3648	352
12:53:34		-1920	3712	304
12:53:34		-1984	3712	480
12:53:34		-1952	3680	352
12:53:35		-1856	3664	352
12:53:35		-1952	3680	352
12:53:35		-1808	3728	304
12:53:35		-1936	3744	448
12:53:35		-1712	3520	352
12:53:35		-2016	3776	288
12:53:35		-1840	3616	336
12:53:35		-1936	3712	304
12:53:35		-1584	3648	400
12:53:36		-2160	3856	288
12:53:36		-2000	5568	1056
12:53:36		-64	-384	-320
12:53:36		-1024	4928	-352
12:53:36		-2304	992	0
12:53:36		-368	6880	1952
12:53:36		-1040	1504	-128
12:53:36		-1360	3056	528
12:53:36		-2384	4544	352
12:53:36		-976	3952	1072
12:53:37		-864	3840	32
12:53:37		-1968	3456	528
12:53:37		-1856	4576	272
12:53:37		-1904	3664	512
12:53:37		-1744	3584	128
12:53:37		-1856	3536	320
12:53:37		-2128	3840	400
12:53:37		-1600	3712	528
12:53:37		-2016	3904	256
12:53:38		-1632	3520	432
12:53:38		-2272	3760	288
12:53:38		-1920	3648	400
12:53:38		-2192	3696	288
12:53:38		-2000	3456	448
