TimeNow	X-Axis	Y-Axis	Z-Axis
12:46:32	-512	4032	496
12:46:32	-528	4032	544
12:46:32	-512	4048	544
12:46:32	-512	4064	512
12:46:32	-560	4032	480
12:46:33	-544	4032	512
12:46:33	-560	4032	512
12:46:33	-544	4064	544
12:46:33	-544	4096	528
12:46:33	-528	4032	544
12:46:33	-528	4288	496
12:46:33	-560	4032	544
12:46:33	-528	4048	528
12:46:33	-512	4032	528
12:46:34	-576	4000	544
12:46:34	-704	4032	576
12:46:34	-64	6080	848
12:46:34	-752	-144	80
12:46:34	-2624	800	256
12:46:34	-384	15408	3456
12:46:34	-2864	3648	848
12:46:34	-512	3936	1280
12:46:34	64	2448	368
12:46:34	-2224	5136	1536
12:46:35	64	6032	192
12:46:35	-656	2560	1056
12:46:35	-976	5088	560
12:46:35	-656	3520	768
12:46:35	-704	3696	656
12:46:35	-784	4064	896
12:46:35	-560	3536	656
12:46:35	-976	3936	960
12:46:35	-368	4096	720
12:46:36	-976	4048	384
12:46:36	-704	4144	384
12:46:36	-720	4288	560
12:46:36	-480	4144	560
12:46:36	-608	3984	480
12:46:36	-656	4000	544
12:46:36	-624	4048	560
12:46:36	-640	4112	656
12:46:36	-704	3936	800
12:46:36	-848	3936	896
12:46:37	-976	3824	960
12:46:37	-896	3968	848
12:46:37	-624	4048	624
12:46:37	-544	4032	560
12:46:37	-576	4032	560
12:46:37	-576	4064	576
12:46:37	-528	3920	736
12:46:37	-544	4032	656
12:46:37	-656	4048	592
12:46:38	-576	3952	640
12:46:38	-512	3792	800
12:46:38	-576	4064	688
12:46:38	-576	4064	544
12:46:38	-672	4080	384
12:46:38	-768	3904	384
12:46:38	-464	4048	528
12:46:38	-416	4160	544
12:46:38	-512	3984	528
12:46:38	-608	4080	528
12:46:39	-576	4032	592
12:46:39	-576	4080	528
12:46:39	-720	4048	576
12:46:39	-688	3984	560
12:46:39	-576	4048	640
12:46:39	-576	3984	640
12:46:39	-624	3984	592
12:46:39	-704	4032	624
12:46:39	-720	3984	640
12:46:40	-576	4032	592
12:46:40	-640	4048	624
12:46:40	-640	4048	608
12:46:40	-624	4000	592
12:46:40	-608	4048	576
12:46:40	-560	4032	576
12:46:40	-576	4032	576
12:46:40	-576	4032	608
12:46:40	-576	3984	608
12:46:40	-608	4032	576
12:46:41	-624	4048	608
12:46:41	-544	4032	624
12:46:41	-624	4048	576
12:46:41	-704	3936	560
12:46:41	-640	4032	608
12:46:41	-576	4000	592
12:46:41	-608	4000	592
12:46:41	-560	4032	576
12:46:41	-672	3984	544
12:46:42	-608	3936	560
12:46:42	-560	4032	608
12:46:42	-640	4000	640
12:46:42	-608	3984	576
12:46:42	-576	3984	592
12:46:42	-544	4032	592
12:46:42	-592	4032	576
12:46:42	-560	3968	592
12:46:42	-640	4000	576
