TimeNow	X-Axis	Y-Axis	Z-Axis
11:44:48	-1968	3744	240
11:44:49	-1968	3664	240
11:44:50	-1936	3712	256
11:44:51	-1920	3712	256
11:44:52	-1920	3664	320
11:44:53	-1920	3440	976
11:44:54	-1552	3264	656
11:44:55	-2000	3696	336
11:44:56	-1904	3696	256
11:44:57	-1712	3776	192
11:44:58	-2048	3536	272
11:44:59	-1680	3696	448
11:45:00	-1696	3792	448
11:45:01	-1712	3840	416
11:45:02	2784	11136	3280
11:45:03	-2272	3520	496
11:45:04	-2192	4864	608
11:45:05	-2064	3712	368
11:45:06	-1840	3776	480
11:45:07	-1952	3664	400
11:45:08	-1888	3680	400
11:45:09	-1888	3712	448
11:45:10	-1776	3680	464
11:45:11	-1920	3728	464
11:45:12	-1856	3728	416
11:45:13	-1856	3728	448
11:45:14	-1968	3680	416
11:45:15	-224	-304	944
11:45:16	-2800	3184	448
11:45:17	-1984	3168	720
11:45:18	-1984	3552	576
11:45:19	-1920	3664	496
11:45:20	-1904	3712	448
11:45:21	-1888	3680	368
11:45:22	-1904	3712	448
11:45:23	-1792	3584	384
11:45:24	-2288	3968	768
11:45:25	-2224	3872	192
11:45:26	-1888	3712	400
11:45:27	-1904	3696	368
11:45:28	-1920	3712	384
11:45:29	-1280	13328	-1536
11:45:30	-1952	3600	1088
11:45:31	-1488	3888	-320
11:45:32	-1888	3712	448
11:45:33	-1952	3664	352
11:45:34	-1904	3728	448
11:45:35	-1904	3696	400
11:45:36	-1936	3648	400
11:45:37	-2032	5216	480
11:45:38	-1664	3792	448
11:45:39	-1728	3808	416
11:45:40	-1856	3776	384
11:45:41	-1808	3776	400
11:45:42	-1792	3696	416
11:45:43	-1856	3712	400
11:45:44	-1840	3728	416
11:45:45	-1808	3712	384
11:45:46	-1840	3712	400
